BJs,spins_avg_N=50,spins_std_N=50,E_means_N=50,E_stds_N=50,spins_avg_N=75,spins_std_N=75,E_means_N=75,E_stds_N=75,spins_avg_N=100,spins_std_N=100,E_means_N=100,E_stds_N=100,spins_avg_N=200,spins_std_N=200,E_means_N=200,E_stds_N=200
1.0,0.998878,0.0010196627,-9781.19,16.93934,0.998784,0.0007320679,-22153.22,28.132725,0.999048,0.0004735608,-39535.23,30.97492,0.9991581,0.00020853548,-158950.23,59.704388
0.87878793,0.9970499,0.0015929319,-9752.84,24.881361,0.99724007,0.0008918602,-22094.87,34.94074,0.99734205,0.00078828447,-39414.58,51.190376,0.9976926,0.00034272033,-158527.02,96.294136
0.7837838,0.992734,0.002643392,-9681.43,40.59205,0.9932667,0.0019937202,-21959.23,63.304546,0.99415696,0.0011768666,-39195.51,74.81037,0.9946964,0.00060121424,-157681.62,156.26266
0.70731705,0.983732,0.004923248,-9559.32,62.354294,0.9865937,0.0029705898,-21748.67,85.7586,0.98859453,0.0017689243,-38826.82,108.65451,0.9899463,0.000837946,-156353.75,202.45714
0.6444444,0.977696,0.005091601,-9452.57,67.63928,0.9794889,0.0034797124,-21456.14,114.3168,0.9798745,0.0027950455,-38268.7,164.71593,0.9817521,0.0012388865,-154213.33,277.31277
0.59183675,0.9593359,0.008507081,-9206.11,111.02506,0.96129507,0.004510437,-20899.07,141.23088,0.96566355,0.003080032,-37432.89,170.38918,0.9688892,0.0015932663,-151033.14,358.7888
0.5471698,0.933864,0.012873375,-8923.14,110.57263,0.93768007,0.0059192507,-20231.93,151.50412,0.942117,0.0050946847,-36237.28,259.8266,0.9466548,0.0030867965,-146329.64,554.51807
0.5087719,0.87780595,0.026329774,-8443.03,182.80351,0.83812886,0.013856089,-18946.06,207.65384,0.903723,0.0062590893,-34678.06,291.1654,0.91130614,0.004843109,-139812.45,754.87537
0.4754098,0.793302,0.035116684,-7806.38,174.6251,0.67623556,0.020247977,-17840.45,269.55154,0.8383534,0.014700654,-32311.77,405.58002,0.8351939,0.0051609366,-130286.77,674.71533
0.44615385,0.652958,0.04545344,-7057.26,276.66733,0.41360444,0.06309395,-15461.92,256.36127,0.719596,0.033792783,-29058.78,572.97156,0.6879325,0.0076199593,-116441.44,788.86383
0.42028984,0.047179993,0.112788305,-5841.83,268.81113,0.31605777,0.03239974,-13622.26,348.3624,0.2108585,0.058091998,-24155.47,401.39215,0.33764824,0.025066303,-99551.84,1010.04456
0.39726025,-0.075724,0.08776887,-5249.83,211.86853,0.06693422,0.047829557,-11944.1,339.6006,0.056811504,0.062376846,-21619.1,398.1379,0.060818873,0.03337704,-86900.96,804.1836
0.3766234,0.040098,0.06256754,-4894.55,261.60028,0.034458667,0.03492365,-10881.78,296.85986,0.014783,0.017499534,-19333.34,374.42892,-0.014247874,0.02408984,-78641.39,818.8265
0.3580247,0.033392,0.068544105,-4399.28,176.41953,-0.012808,0.026096826,-9999.14,250.21194,-0.0232075,0.030526413,-18023.64,418.7286,0.01976525,0.025098562,-72136.19,887.00433
0.34117645,-0.016912,0.039827764,-4103.16,162.89491,-0.027263112,0.040733956,-9437.13,267.7653,-0.0025584996,0.026155302,-16600.82,390.0418,0.00309975,0.0134839425,-67459.63,625.6993
0.3258427,-0.041042004,0.0495073,-3821.35,176.11974,-0.0068,0.0350645,-8718.53,295.61575,-0.010900498,0.03816618,-15602.76,367.7775,0.00827275,0.0157609,-62785.82,708.3265
0.31182796,0.02952,0.0568984,-3675.0,155.73964,0.0005564447,0.03395479,-8237.62,258.6134,-0.0265345,0.024689892,-14648.64,347.23672,-0.00018187474,0.013944172,-59033.46,697.6657
0.29896906,-0.034824,0.058547862,-3418.39,213.65234,0.017660445,0.029738786,-7735.48,263.15985,0.0139635,0.023748275,-13836.94,336.42947,-0.0007195,0.012451464,-55752.27,900.52496
0.28712872,-0.015026002,0.05024083,-3242.25,161.09106,-0.0030959994,0.029882267,-7328.21,296.06177,0.0014125002,0.022658182,-13132.93,295.86826,0.0043015005,0.010144515,-52882.63,682.9248
0.2761905,-0.0030500002,0.03940691,-3124.84,185.55887,-0.0024577775,0.03237268,-6966.18,271.0268,0.0021455,0.021066938,-12478.22,368.61444,-0.001349,0.008808969,-50258.7,651.2083
0.26605505,-0.023362003,0.040516615,-2965.37,169.23547,-0.001120889,0.025852578,-6686.66,260.0609,0.00535,0.021290984,-11880.56,325.94836,0.00098425,0.00914495,-47893.28,631.0319
0.2566372,-0.0021600006,0.045502584,-2824.5,179.86548,0.0015920005,0.026530907,-6422.9,226.38028,-0.0082495,0.020626927,-11303.98,315.67096,0.00054999994,0.00982951,-45670.99,591.7907
0.24786323,-0.011032001,0.039318677,-2660.93,144.0659,-0.0068008886,0.02518988,-6039.48,257.05087,0.0033025,0.019506944,-10900.91,300.4864,-0.0010288749,0.009082868,-43975.35,570.7297
0.23966941,0.008652,0.043961547,-2587.84,160.63275,1.2444398e-05,0.020655485,-5877.59,247.10225,-0.0027669999,0.017435128,-10505.0,288.14914,0.002061,0.009908488,-42167.38,573.0662
0.23200001,0.00021800004,0.027643887,-2503.8,154.32869,-0.0019226666,0.021530839,-5640.21,258.7005,0.0007440001,0.018342398,-10110.68,316.00098,0.0067424993,0.010252307,-40480.27,637.2153
0.22480619,-0.0053559993,0.029844195,-2404.99,158.42438,-0.004119111,0.024993751,-5425.9,237.85455,-0.0074205,0.01443534,-9739.24,322.0804,-0.000933,0.0076208124,-39017.57,658.1554
0.21804512,-0.002416,0.03142041,-2317.41,153.28847,0.0033893334,0.027010944,-5252.57,253.94751,0.004807,0.019864472,-9438.77,333.24646,0.00231425,0.0073373658,-37644.06,615.2722
0.21167883,-0.007576,0.03543448,-2226.9,144.52588,0.005385778,0.022423668,-5071.52,222.82166,-0.0010395,0.016097981,-9083.26,316.97812,-0.0032910001,0.009424238,-36457.76,631.38995
0.20567375,-3.000008e-05,0.030683089,-2176.8,161.67767,-0.0016364444,0.019124527,-4844.35,237.97221,-0.0030864999,0.018468175,-8694.23,314.84946,0.00024562518,0.009083916,-35145.82,611.88086
0.2,-0.0034259998,0.026989635,-2073.63,154.59708,0.0028453332,0.024483321,-4714.25,251.64406,0.0044825,0.012690607,-8472.17,319.50427,-0.0028404999,0.00777829,-34026.3,637.32996
